Animal ID,Name_Intake,DateTime_Intake,MonthYear_Intake,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Age upon Intake,Breed_Intake,Color_Intake,Name_Outcome,DateTime_Outcome,MonthYear_Outcome,Date of Birth,Animal Type_Outcome,Sex upon Outcome,Age upon Outcome,Breed_Outcome,Color_Outcome,binary_outcome
A715695,,11/08/2015 12:34:00 PM,11/08/2015 12:34:00 PM,9701 Beck Cir in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Medium Hair Mix,Black,,12/23/2015 12:08:00 PM,12/23/2015 12:08:00 PM,10/08/2015,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Black,0.0
A743183,Rocko,02/05/2017 01:33:00 PM,02/05/2017 01:33:00 PM,Spring Meadow Rd And Nuckols Crossing Rd in Austin (TX),Stray,Normal,Dog,Intact Male,5 months,Soft Coated Wheaten Terrier Mix,Sable/Cream,Rocko,02/06/2017 11:51:00 AM,02/06/2017 11:51:00 AM,09/05/2016,Dog,Intact Male,5 months,Soft Coated Wheaten Terrier Mix,Sable/Cream,0.0
A776404,,07/13/2018 11:30:00 AM,07/13/2018 11:30:00 AM,North Lamar And Highway 183 in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black,,07/26/2018 02:46:00 PM,07/26/2018 02:46:00 PM,05/13/2018,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black,0.0
A713803,*Pecan,10/13/2015 12:39:00 PM,10/13/2015 12:39:00 PM,1457 W Pecan St in Pflugerville (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Medium Hair Mix,Tortie,*Pecan,12/09/2015 09:15:00 AM,12/09/2015 09:15:00 AM,09/06/2015,Cat,Spayed Female,3 months,Domestic Medium Hair Mix,Tortie,0.0
A704540,*Ingrid,06/06/2015 10:53:00 AM,06/06/2015 10:53:00 AM,2104 Dove Pass in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Black,*Ingrid,06/17/2015 12:40:00 PM,06/17/2015 12:40:00 PM,05/06/2015,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black,0.0
A764586,Doggie,01/02/2018 01:27:00 PM,01/02/2018 01:27:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,12 years,American Eskimo Mix,Brown,Doggie,01/27/2018 02:27:00 PM,01/27/2018 02:27:00 PM,01/02/2006,Dog,Neutered Male,12 years,American Eskimo Mix,Brown,0.0
A737970,,11/07/2016 03:47:00 PM,11/07/2016 03:47:00 PM,Loyola Ln & Wentworth Dr in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Pit Bull Mix,Black/White,,11/08/2016 06:45:00 PM,11/08/2016 06:45:00 PM,09/12/2016,Dog,Intact Female,1 month,Pit Bull Mix,Black/White,0.0
A736438,*Toby,10/10/2016 04:16:00 PM,10/10/2016 04:16:00 PM,1831 Wells Branch Pkwy in Austin (TX),Stray,Normal,Cat,Intact Male,4 months,Domestic Shorthair Mix,Orange Tabby,*Toby,10/20/2016 12:00:00 AM,10/20/2016 12:00:00 AM,06/10/2016,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Orange Tabby,0.0
A680425,,06/02/2014 04:01:00 PM,06/02/2014 04:01:00 PM,12202 Vonquintus Rd in Austin (TX),Stray,Normal,Cat,Intact Female,2 days,Domestic Shorthair Mix,Brown Tabby/White,,06/02/2014 06:10:00 PM,06/02/2014 06:10:00 PM,05/31/2014,Cat,Intact Female,2 days,Domestic Shorthair Mix,Brown Tabby/White,0.0
A713612,Lil Mama,10/09/2015 02:50:00 PM,10/09/2015 02:50:00 PM,William Cannon And S. 1St St in Austin (TX),Stray,Injured,Dog,Intact Female,8 years,Chihuahua Shorthair Mix,Buff,Lil Mama,10/11/2015 01:01:00 PM,10/11/2015 01:01:00 PM,10/11/2007,Dog,Intact Female,8 years,Chihuahua Shorthair Mix,Buff,0.0
A676071,Jackson,12/23/2014 06:49:00 PM,12/23/2014 06:49:00 PM,8907 Bee Cave Rd in Austin (TX),Stray,Normal,Dog,Neutered Male,5 years,Labrador Retriever,Black,Jackson,10/31/2014 06:25:00 PM,10/31/2014 06:25:00 PM,04/04/2009,Dog,Neutered Male,5 years,Labrador Retriever,Black,0.0
