Animal_ID,Name_Intake,Found_Location,Intake_Type,Intake_Condition,Animal_Type_Intake,Sex_upon_Intake,Age_upon_Intake,Breed_Intake,Color_Intake,Sex_upon_Outcome,Age_upon_Outcome,binary_outcome,year_intake,month_intake,year_outcome,month_outcome,birth_year,birth_month
A715695,,9701 Beck Cir in Austin (TX),Stray,Normal,Cat,Intact Female,0.07692307692307693,Domestic Medium Hair Mix,Black,Spayed Female,0.16666666666666666,0.0,2015,11,2015,12,2015,10
A743183,Rocko,Spring Meadow Rd And Nuckols Crossing Rd in Austin (TX),Stray,Normal,Dog,Intact Male,0.41666666666666663,Soft Coated Wheaten Terrier Mix,Sable/Cream,Intact Male,0.41666666666666663,0.0,2017,2,2017,2,2016,9
A776404,,North Lamar And Highway 183 in Austin (TX),Stray,Normal,Cat,Intact Female,0.08333333333333333,Domestic Shorthair Mix,Black,Spayed Female,0.16666666666666666,0.0,2018,7,2018,7,2018,5
A713803,*Pecan,1457 W Pecan St in Pflugerville (TX),Stray,Normal,Cat,Intact Female,0.08333333333333333,Domestic Medium Hair Mix,Tortie,Spayed Female,0.25,0.0,2015,10,2015,12,2015,9
A704540,*Ingrid,2104 Dove Pass in Austin (TX),Stray,Normal,Cat,Intact Female,0.07692307692307693,Domestic Shorthair Mix,Black,Intact Female,0.08333333333333333,0.0,2015,6,2015,6,2015,5
A764586,Doggie,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,12.0,American Eskimo Mix,Brown,Neutered Male,12.0,0.0,2018,1,2018,1,2006,1
A737970,,Loyola Ln & Wentworth Dr in Austin (TX),Stray,Normal,Dog,Intact Female,0.08333333333333333,Pit Bull Mix,Black/White,Intact Female,0.08333333333333333,0.0,2016,11,2016,11,2016,9
A736438,*Toby,1831 Wells Branch Pkwy in Austin (TX),Stray,Normal,Cat,Intact Male,0.3333333333333333,Domestic Shorthair Mix,Orange Tabby,Neutered Male,0.3333333333333333,0.0,2016,10,2016,10,2016,6
A680425,,12202 Vonquintus Rd in Austin (TX),Stray,Normal,Cat,Intact Female,0.005479452054794521,Domestic Shorthair Mix,Brown Tabby/White,Intact Female,0.005479452054794521,0.0,2014,6,2014,6,2014,5
A713612,Lil Mama,William Cannon And S. 1St St in Austin (TX),Stray,Injured,Dog,Intact Female,8.0,Chihuahua Shorthair Mix,Buff,Intact Female,8.0,0.0,2015,10,2015,10,2007,10
A676071,Jackson,8907 Bee Cave Rd in Austin (TX),Stray,Normal,Dog,Neutered Male,5.0,Labrador Retriever,Black,Neutered Male,5.0,0.0,2014,12,2014,10,2009,4
A795499,,15103 Oklahoma Street in Austin (TX),Stray,Nursing,Cat,Intact Female,0.057692307692307696,Domestic Shorthair,Blue,Spayed Female,0.16666666666666666,0.0,2019,5,2019,7,2019,4
A715125,Bane,11906 Broad Leaf Cv in Austin (TX),Stray,Normal,Dog,Neutered Male,2.0,Labrador Retriever Mix,Tan/White,Neutered Male,2.0,0.0,2015,10,2015,11,2013,10
A756245,,2201 Montoplois in Austin (TX),Stray,Normal,Cat,Intact Male,0.08333333333333333,Domestic Shorthair Mix,Brown Tabby,Neutered Male,0.16666666666666666,0.0,2017,8,2017,8,2017,6
A696230,,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,0.25,Domestic Medium Hair Mix,Black/White,Neutered Male,0.25,0.0,2015,1,2015,2,2014,10
A802476,,7330 Bluff Springs Road in Austin (TX),Stray,Normal,Cat,Intact Male,1.0,Domestic Shorthair,Orange Tabby/White,Intact Male,1.0,0.0,2019,8,2019,8,2018,8
