Name_Intake,Found_Location,Intake_Type,Intake_Condition,Animal_Type_Intake,Sex_upon_Intake,Age_upon_Intake,Breed_Intake,Color_Intake,Sex_upon_Outcome,Age_upon_Outcome,binary_outcome,year_intake,month_intake,year_outcome,month_outcome,birth_year,birth_month,percent,Time_In_Shelter,Neutered_Spayed_In_Shelter
Unnamed,Austin (TX),Stray,Normal,Cat,Intact Female,0.07692307692307693,Mixed-Breed,Pure-Color,Spayed Female,0.16666666666666666,0.0,2015,11,2015,12,2015,10,0.2849002849002849,0.08974358974358973,Yes
Named,Austin (TX),Stray,Normal,Dog,Intact Male,0.41666666666666663,Mixed-Breed,Mixed-Color,Intact Male,0.41666666666666663,0.0,2017,2,2017,2,2016,9,0.15408320493066258,0.0,No
Unnamed,Austin (TX),Stray,Normal,Cat,Intact Female,0.08333333333333333,Mixed-Breed,Pure-Color,Spayed Female,0.16666666666666666,0.0,2018,7,2018,7,2018,5,0.2849002849002849,0.08333333333333333,Yes
Named,Other (TX),Stray,Normal,Cat,Intact Female,0.08333333333333333,Mixed-Breed,Pure-Color,Spayed Female,0.25,0.0,2015,10,2015,12,2015,9,0.2849002849002849,0.16666666666666669,Yes
Named,Austin (TX),Stray,Normal,Cat,Intact Female,0.07692307692307693,Mixed-Breed,Pure-Color,Intact Female,0.08333333333333333,0.0,2015,6,2015,6,2015,5,0.15408320493066258,0.006410256410256401,No
Named,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,12.0,Mixed-Breed,Pure-Color,Neutered Male,12.0,0.0,2018,1,2018,1,2006,1,0.15408320493066258,0.0,No
Unnamed,Austin (TX),Stray,Normal,Dog,Intact Female,0.08333333333333333,Mixed-Breed,Mixed-Color,Intact Female,0.08333333333333333,0.0,2016,11,2016,11,2016,9,0.15408320493066258,0.0,No
Named,Austin (TX),Stray,Normal,Cat,Intact Male,0.3333333333333333,Mixed-Breed,Pure-Color,Neutered Male,0.3333333333333333,0.0,2016,10,2016,10,2016,6,0.2849002849002849,0.0,Yes
Unnamed,Austin (TX),Stray,Normal,Cat,Intact Female,0.005479452054794521,Mixed-Breed,Mixed-Color,Intact Female,0.005479452054794521,0.0,2014,6,2014,6,2014,5,0.15408320493066258,0.0,No
Named,Austin (TX),Stray,Injured,Dog,Intact Female,8.0,Mixed-Breed,Pure-Color,Intact Female,8.0,0.0,2015,10,2015,10,2007,10,0.15408320493066258,0.0,No
Named,Austin (TX),Stray,Normal,Dog,Neutered Male,5.0,Pure-Breed,Pure-Color,Neutered Male,5.0,0.0,2014,12,2014,10,2009,4,0.15408320493066258,0.0,No
Unnamed,Austin (TX),Stray,Nursing,Cat,Intact Female,0.057692307692307696,Pure-Breed,Pure-Color,Spayed Female,0.16666666666666666,0.0,2019,5,2019,7,2019,4,0.2849002849002849,0.10897435897435896,Yes
Named,Austin (TX),Stray,Normal,Dog,Neutered Male,2.0,Mixed-Breed,Mixed-Color,Neutered Male,2.0,0.0,2015,10,2015,11,2013,10,0.15408320493066258,0.0,No
Unnamed,Austin (TX),Stray,Normal,Cat,Intact Male,0.08333333333333333,Mixed-Breed,Pure-Color,Neutered Male,0.16666666666666666,0.0,2017,8,2017,8,2017,6,0.2849002849002849,0.08333333333333333,Yes
Unnamed,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,0.25,Mixed-Breed,Mixed-Color,Neutered Male,0.25,0.0,2015,1,2015,2,2014,10,0.2849002849002849,0.0,Yes
Unnamed,Austin (TX),Stray,Normal,Cat,Intact Male,1.0,Pure-Breed,Mixed-Color,Intact Male,1.0,0.0,2019,8,2019,8,2018,8,0.15408320493066258,0.0,No
Named,Austin (TX),Stray,Normal,Cat,Intact Male,0.057692307692307696,Pure-Breed,Pure-Color,Intact Male,0.09615384615384616,0.0,2019,7,2019,7,2019,6,0.15408320493066258,0.038461538461538464,No
Named,Austin (TX),Stray,Normal,Dog,Spayed Female,6.0,Cross-Breed,Mixed-Color,Spayed Female,6.0,0.0,2015,4,2015,4,2008,6,0.15408320493066258,0.0,No
