Animal_ID,Name_Intake,Found_Location,Intake_Type,Intake_Condition,Animal_Type_Intake,Sex_upon_Intake,Age_upon_Intake,Breed_Intake,Color_Intake,Sex_upon_Outcome,Age_upon_Outcome,binary_outcome,year_intake,month_intake,year_outcome,month_outcome,birth_year,birth_month,Time_In_Shelter,Neutered_Spayed_In_Shelter,percent
A815821,Unnamed,Austin (TX),Wildlife,Normal,Other,Unknown,2.0,Pure-Breed,Mixed-Color,Unknown,2.0,1.0,2020,3,2020,3,2018,3,0.0,No,0.14641288433382138
A815816,Unnamed,Austin (TX),Wildlife,Normal,Other,Unknown,2.0,Pure-Breed,Mixed-Color,Unknown,2.0,1.0,2020,3,2020,3,2018,3,0.0,No,0.14641288433382138
A815814,Unnamed,Austin (TX),Wildlife,Normal,Other,Unknown,2.0,Pure-Breed,Mixed-Color,Unknown,2.0,1.0,2020,3,2020,3,2018,3,0.0,No,0.14641288433382138
A815799,Named,Austin (TX),Stray,Injured,Cat,Intact Male,2.0,Pure-Breed,Mixed-Color,Intact Male,2.0,0.0,2020,3,2020,3,2018,3,0.0,No,0.14641288433382138
A815792,Unnamed,Austin (TX),Wildlife,Normal,Other,Unknown,1.0,Pure-Breed,Pure-Color,Unknown,1.0,1.0,2020,3,2020,3,2019,3,0.0,No,0.14641288433382138
A815791,Unnamed,Austin (TX),Wildlife,Normal,Other,Unknown,2.0,Pure-Breed,Pure-Color,Unknown,2.0,1.0,2020,3,2020,3,2018,3,0.0,No,0.14641288433382138
A815789,Named,Austin (TX),Stray,Normal,Dog,Spayed Female,1.0,Pure-Breed,Mixed-Color,Spayed Female,1.0,0.0,2020,3,2020,3,2019,3,0.0,No,0.14641288433382138
A815787,Unnamed,Austin (TX),Wildlife,Normal,Other,Unknown,0.41666666666666663,Pure-Breed,Mixed-Color,Unknown,0.5,1.0,2020,3,2020,3,2019,9,0.08333333333333337,No,0.14641288433382138
A815776,Unnamed,Austin (TX),Wildlife,Normal,Other,Unknown,2.0,Pure-Breed,Mixed-Color,Unknown,2.0,1.0,2020,3,2020,3,2018,3,0.0,No,0.14641288433382138
A815773,Unnamed,Other (TX),Wildlife,Normal,Other,Unknown,1.0,Pure-Breed,Pure-Color,Unknown,1.0,1.0,2020,3,2020,3,2019,3,0.0,No,0.14641288433382138
A815767,Unnamed,Austin (TX),Wildlife,Sick,Other,Unknown,2.0,Pure-Breed,Pure-Color,Unknown,2.0,1.0,2020,3,2020,3,2018,3,0.0,No,0.14641288433382138
A815765,Unnamed,Austin (TX),Stray,Injured,Cat,Intact Male,2.0,Pure-Breed,Pure-Color,Intact Male,2.0,1.0,2020,3,2020,3,2018,3,0.0,No,0.14641288433382138
A815754,Unnamed,Austin (TX),Wildlife,Normal,Other,Unknown,1.0,Pure-Breed,Pure-Color,Unknown,1.0,1.0,2020,3,2020,3,2019,3,0.0,No,0.14641288433382138
A815753,Unnamed,Austin (TX),Wildlife,Normal,Other,Unknown,1.0,Pure-Breed,Pure-Color,Unknown,1.0,1.0,2020,3,2020,3,2019,3,0.0,No,0.14641288433382138
A815750,Unnamed,Austin (TX),Wildlife,Sick,Other,Unknown,1.0,Pure-Breed,Mixed-Color,Unknown,1.0,1.0,2020,3,2020,3,2019,3,0.0,No,0.14641288433382138
A815749,Unnamed,Austin (TX),Wildlife,Injured,Other,Unknown,1.0,Pure-Breed,Pure-Color,Unknown,1.0,1.0,2020,3,2020,3,2019,3,0.0,No,0.14641288433382138
A815748,Unnamed,Other (TX),Stray,Injured,Cat,Intact Male,0.016438356164383564,Pure-Breed,Pure-Color,Intact Male,0.016438356164383564,1.0,2020,3,2020,3,2020,3,0.0,No,0.14641288433382138
A815747,Unnamed,Other (TX),Stray,Injured,Cat,Intact Male,0.016438356164383564,Pure-Breed,Pure-Color,Intact Male,0.016438356164383564,1.0,2020,3,2020,3,2020,3,0.0,No,0.14641288433382138
A815746,Unnamed,Other (TX),Stray,Injured,Cat,Intact Male,0.019230769230769232,Pure-Breed,Pure-Color,Intact Male,0.019230769230769232,0.0,2020,3,2020,3,2020,3,0.0,No,0.14641288433382138
A815745,Unnamed,Other (TX),Stray,Injured,Cat,Intact Female,0.019230769230769232,Pure-Breed,Pure-Color,Intact Female,0.019230769230769232,0.0,2020,3,2020,3,2020,3,0.0,No,0.14641288433382138
A815739,Named,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,5.0,Pure-Breed,Mixed-Color,Intact Female,5.0,0.0,2020,3,2020,3,2015,3,0.0,No,0.14641288433382138
A815735,Unnamed,Austin (TX),Wildlife,Sick,Other,Unknown,1.0,Pure-Breed,Pure-Color,Unknown,1.0,1.0,2020,3,2020,3,2019,3,0.0,No,0.14641288433382138
A815729,Unnamed,Austin (TX),Wildlife,Sick,Other,Unknown,2.0,Pure-Breed,Mixed-Color,Unknown,2.0,1.0,2020,3,2020,3,2018,3,0.0,No,0.14641288433382138
A815721,Unnamed,Austin (TX),Wildlife,Normal,Other,Unknown,1.0,Pure-Breed,Pure-Color,Unknown,1.0,1.0,2020,3,2020,3,2019,3,0.0,No,0.14641288433382138
A815716,Unnamed,Austin (TX),Stray,Injured,Cat,Intact Male,3.0,Pure-Breed,Pure-Color,Intact Male,3.0,1.0,2020,3,2020,3,2017,3,0.0,No,0.14641288433382138
A815715,Unnamed,Austin (TX),Stray,Nursing,Cat,Intact Male,0.038461538461538464,Pure-Breed,Pure-Color,Intact Male,0.038461538461538464,0.0,2020,3,2020,3,2020,3,0.0,No,0.14641288433382138
A815714,Unnamed,Austin (TX),Stray,Nursing,Cat,Intact Female,0.038461538461538464,Pure-Breed,Pure-Color,Intact Female,0.038461538461538464,0.0,2020,3,2020,3,2020,3,0.0,No,0.14641288433382138
A815708,Unnamed,Austin (TX),Stray,Normal,Dog,Intact Female,0.75,Cross-Breed,Pure-Color,Intact Female,0.75,0.0,2020,3,2020,3,2019,6,0.0,No,0.14641288433382138
A815688,Named,Austin (TX),Stray,Normal,Dog,Spayed Female,4.0,Pure-Breed,Mixed-Color,Spayed Female,4.0,0.0,2020,3,2020,3,2016,3,0.0,No,0.14641288433382138
A815686,Named,Austin (TX),Stray,Normal,Dog,Neutered Male,5.0,Pure-Breed,Mixed-Color,Neutered Male,5.0,0.0,2020,3,2020,3,2014,8,0.0,No,0.14641288433382138
A815679,Unnamed,Austin (TX),Stray,Normal,Cat,Intact Female,0.008219178082191782,Pure-Breed,Mixed-Color,Intact Female,0.008219178082191782,0.0,2020,3,2020,3,2020,3,0.0,No,0.14641288433382138
A815676,Unnamed,Austin (TX),Wildlife,Normal,Other,Unknown,2.0,Pure-Breed,Pure-Color,Unknown,2.0,1.0,2020,3,2020,3,2018,3,0.0,No,0.14641288433382138
A815673,Unnamed,Other (TX),Wildlife,Normal,Other,Unknown,1.0,Pure-Breed,Pure-Color,Unknown,1.0,1.0,2020,3,2020,3,2019,3,0.0,No,0.14641288433382138
A815662,Named,Austin (TX),Stray,Normal,Dog,Intact Female,2.0,Pure-Breed,Mixed-Color,Intact Female,2.0,0.0,2020,3,2020,3,2018,2,0.0,No,0.14641288433382138
A815658,Unnamed,Other (TX),Wildlife,Normal,Other,Intact Male,2.0,Pure-Breed,Pure-Color,Intact Male,2.0,1.0,2020,3,2020,3,2018,3,0.0,No,0.14641288433382138
A815650,Unnamed,Austin (TX),Stray,Nursing,Cat,Intact Female,0.0136986301369863,Pure-Breed,Mixed-Color,Intact Female,0.0136986301369863,0.0,2020,3,2020,3,2020,3,0.0,No,0.14641288433382138
A815640,Unnamed,Austin (TX),Wildlife,Sick,Other,Unknown,2.0,Pure-Breed,Mixed-Color,Unknown,2.0,1.0,2020,3,2020,3,2018,3,0.0,No,0.14641288433382138
A815629,Named,Austin (TX),Public Assist,Normal,Dog,Neutered Male,0.5833333333333333,Pure-Breed,Pure-Color,Neutered Male,0.5833333333333333,0.0,2020,3,2020,3,2019,8,0.0,No,0.14641288433382138
A815621,Unnamed,Austin (TX),Stray,Injured,Cat,Intact Female,2.0,Pure-Breed,Mixed-Color,Intact Female,2.0,1.0,2020,3,2020,3,2018,3,0.0,No,0.14641288433382138
A815619,Unnamed,Austin (TX),Wildlife,Normal,Other,Unknown,2.0,Pure-Breed,Mixed-Color,Unknown,2.0,1.0,2020,3,2020,3,2018,3,0.0,No,0.14641288433382138
A815618,Unnamed,Austin (TX),Abandoned,Normal,Dog,Intact Female,0.9166666666666666,Cross-Breed,Mixed-Color,Intact Female,1.0,0.0,2020,3,2020,3,2019,3,0.08333333333333337,No,0.14641288433382138
A815616,Unnamed,Austin (TX),Abandoned,Normal,Dog,Intact Male,0.3333333333333333,Mixed-Breed,Mixed-Color,Intact Male,0.3333333333333333,0.0,2020,3,2020,3,2019,10,0.0,No,0.14641288433382138
A815615,Unnamed,Austin (TX),Abandoned,Normal,Dog,Intact Female,0.16666666666666666,Mixed-Breed,Mixed-Color,Intact Female,0.25,0.0,2020,3,2020,3,2019,12,0.08333333333333334,No,0.14641288433382138
A815614,Unnamed,Austin (TX),Abandoned,Normal,Dog,Intact Female,0.16666666666666666,Mixed-Breed,Mixed-Color,Intact Female,0.25,0.0,2020,3,2020,3,2019,12,0.08333333333333334,No,0.14641288433382138
A815611,Named,Austin (TX),Stray,Injured,Dog,Spayed Female,2.0,Pure-Breed,Pure-Color,Spayed Female,2.0,0.0,2020,3,2020,3,2018,3,0.0,No,0.14641288433382138
A815586,Unnamed,Austin (TX),Stray,Sick,Dog,Intact Female,0.16666666666666666,Pure-Breed,Mixed-Color,Intact Female,0.16666666666666666,0.0,2020,3,2020,3,2020,1,0.0,No,0.14641288433382138
